InvoiceNo,Date,Country,ProductID,Shop,Gender,Size (US),Size (Europe),Size (UK),UnitPrice,Discount,SalePrice
52406,1/3/2014,United States,2147,US15,Male,9.5,42-43,9, $139.00 ,0%, $139.00 
52407,1/4/2014,United States,2224,US13,Male,9,42,8.5, $149.00 ,10%, $134.10 
52408,1/4/2014,Germany,2206,GER2,Male,8.5,41-42,8, $149.00 ,20%, $119.20 
52409,1/4/2014,Germany,2157,GER2,Male,12,45,11.5, $149.00 ,20%, $119.20 
52410,1/4/2014,Canada,2169,CAN3,Female,8,38-39,6, $129.00 ,0%, $129.00 
52411,1/4/2014,United States,2191,US13,Male,10.5,43-44,10, $139.00 ,0%, $139.00 
52411,1/4/2014,United States,2234,US6,Female,9.5,40,7.5, $159.00 ,0%, $159.00 
52411,1/4/2014,United States,2197,US1,Male,10,43,9.5, $129.00 ,0%, $129.00 
52412,1/4/2014,United States,2173,US15,Male,10.5,43-44,10, $159.00 ,0%, $159.00 
52413,1/5/2014,United Kingdom,2156,UK5,Female,8,38-39,6, $169.00 ,10%, $152.10 
52414,1/5/2014,Germany,2235,GER1,Male,9.5,42-43,9, $169.00 ,30%, $118.30 
52414,1/5/2014,Germany,2239,GER2,Female,8.5,39,6.5, $129.00 ,50%, $64.50 
52415,1/5/2014,Canada,2169,CAN3,Female,8,38-39,6, $129.00 ,0%, $129.00 
52416,1/5/2014,Germany,2235,GER1,Male,10.5,43-44,10, $169.00 ,50%, $84.50 
52417,1/5/2014,United States,2154,US15,Male,11,44,10.5, $189.00 ,0%, $189.00 
52418,1/5/2014,United States,2152,US15,Male,8,41,7.5, $139.00 ,0%, $139.00 
52419,1/6/2014,Canada,2154,CAN3,Male,10.5,43-44,10, $179.00 ,0%, $179.00 
52420,1/6/2014,Germany,2154,GER1,Male,10,43,9.5, $199.00 ,0%, $199.00 
52421,1/6/2014,Germany,2206,GER2,Male,8.5,41-42,8, $149.00 ,20%, $119.20 
52421,1/6/2014,Germany,2235,GER1,Male,10.5,43-44,10, $169.00 ,50%, $84.50 
52422,1/6/2014,United States,2213,US7,Female,8,38-39,6, $139.00 ,0%, $139.00 
52423,1/6/2014,United States,2225,US15,Male,10,43,9.5, $199.00 ,30%, $139.30 
52424,1/6/2014,Canada,2150,CAN2,Female,9,39-40,7, $139.00 ,20%, $111.20 
52425,1/7/2014,Canada,2160,CAN7,Male,9.5,42-43,9, $149.00 ,20%, $119.20 
52426,1/7/2014,United Kingdom,2167,UK2,Female,8,38-39,6, $199.00 ,0%, $199.00 
52427,1/7/2014,Germany,2242,GER2,Female,7,37-38,5, $189.00 ,10%, $170.10 
52428,1/7/2014,United States,2173,US15,Male,10.5,43-44,10, $159.00 ,0%, $159.00 
52429,1/7/2014,Germany,2239,GER1,Female,9.5,40,7.5, $159.00 ,50%, $79.50 
52430,1/7/2014,United Kingdom,2168,UK1,Male,10,43,9.5, $159.00 ,10%, $143.10 
52431,1/7/2014,United States,2204,US13,Male,9.5,42-43,9, $129.00 ,10%, $116.10 
52432,1/8/2014,Canada,2238,CAN5,Male,10,43,9.5, $169.00 ,0%, $169.00 
52433,1/8/2014,Canada,2154,CAN3,Male,10.5,43-44,10, $179.00 ,0%, $179.00 
52434,1/8/2014,Germany,2238,GER2,Female,9.5,40,7.5, $189.00 ,0%, $189.00 
52435,1/8/2014,United Kingdom,2229,UK4,Male,7,40,6.5, $169.00 ,0%, $169.00 
52436,1/8/2014,Germany,2225,GER2,Male,9.5,42-43,9, $179.00 ,10%, $161.10 
52437,1/8/2014,United States,2207,US13,Male,12,45,11.5, $169.00 ,0%, $169.00 
52438,1/9/2014,United States,2168,US15,Male,11,44,10.5, $139.00 ,10%, $125.10 
52439,1/9/2014,Canada,2160,CAN7,Male,9.5,42-43,9, $149.00 ,20%, $119.20 
52440,1/9/2014,Germany,2195,GER2,Male,9,42,8.5, $189.00 ,0%, $189.00 
52441,1/9/2014,United States,2191,US15,Female,8.5,39,6.5, $189.00 ,50%, $94.50 
52442,1/9/2014,Canada,2217,CAN3,Female,9,39-40,7, $149.00 ,0%, $149.00 
52443,1/10/2014,United States,2195,US7,Female,8,38-39,6, $129.00 ,10%, $116.10 
52444,1/10/2014,Germany,2157,GER2,Male,12,45,11.5, $149.00 ,20%, $119.20 
52445,1/10/2014,United States,2176,US5,Female,8,38-39,6, $129.00 ,0%, $129.00 
52446,1/10/2014,Germany,2185,GER1,Male,8,41,7.5, $179.00 ,0%, $179.00 
52447,1/10/2014,Canada,2213,CAN6,Female,8,38-39,6, $139.00 ,0%, $139.00 
52448,1/10/2014,Canada,2150,CAN2,Female,9,39-40,7, $139.00 ,20%, $111.20 
52449,1/11/2014,United States,2154,US15,Male,11,44,10.5, $189.00 ,0%, $189.00 
52450,1/11/2014,United States,2230,US15,Female,8,38-39,6, $129.00 ,0%, $129.00 
52450,1/11/2014,United States,2207,US1,Female,8,38-39,6, $199.00 ,10%, $179.10 
52451,1/11/2014,United Kingdom,2167,UK2,Female,8.5,39,6.5, $149.00 ,0%, $149.00 
52452,1/11/2014,Germany,2225,GER2,Male,9.5,42-43,9, $179.00 ,10%, $161.10 
52453,1/11/2014,United Kingdom,2168,UK1,Male,10,43,9.5, $159.00 ,10%, $143.10 
52454,1/12/2014,United States,2159,US15,Female,8,38-39,6, $179.00 ,50%, $89.50 
52454,1/12/2014,United States,2168,US15,Male,11,44,10.5, $139.00 ,10%, $125.10 
52455,1/12/2014,Canada,2204,CAN1,Male,9,42,8.5, $199.00 ,0%, $199.00 
52456,1/12/2014,United States,2206,US12,Male,10,43,9.5, $149.00 ,30%, $104.30 
52457,1/12/2014,Germany,2195,GER2,Male,9,42,8.5, $189.00 ,0%, $189.00 
52458,1/13/2014,United States,2231,US9,Female,7.5,38,5.5, $169.00 ,10%, $152.10 
52459,1/13/2014,Canada,2172,CAN6,Female,8,38-39,6, $149.00 ,20%, $119.20 
52460,1/13/2014,Canada,2226,CAN6,Male,12,45,11.5, $129.00 ,20%, $103.20 
52461,1/13/2014,United States,2232,US4,Female,7.5,38,5.5, $169.00 ,0%, $169.00 
52461,1/13/2014,United States,2230,US14,Female,9,39-40,7, $179.00 ,0%, $179.00 
52461,1/13/2014,United States,2169,US3,Female,10,40-41,8, $169.00 ,30%, $118.30 
52462,1/13/2014,United Kingdom,2182,UK3,Female,8.5,39,6.5, $129.00 ,0%, $129.00 
52463,1/14/2014,Germany,2191,GER3,Male,10,43,9.5, $149.00 ,0%, $149.00 
52464,1/14/2014,Canada,2213,CAN6,Female,8,38-39,6, $139.00 ,0%, $139.00 
52465,1/14/2014,Germany,2199,GER2,Male,11.5,44-45,11, $189.00 ,0%, $189.00 
52466,1/14/2014,United States,2159,US15,Female,6,36-37,4, $199.00 ,10%, $179.10 
52467,1/14/2014,United States,2210,US2,Female,7.5,38,5.5, $189.00 ,0%, $189.00 
52467,1/14/2014,United States,2194,US13,Female,9,39-40,7, $179.00 ,0%, $179.00 
52467,1/14/2014,United States,2169,US14,Male,10.5,43-44,10, $139.00 ,0%, $139.00 
52468,1/15/2014,United States,2192,US3,Female,7.5,38,5.5, $169.00 ,0%, $169.00 
52469,1/15/2014,Germany,2225,GER2,Male,9.5,42-43,9, $179.00 ,10%, $161.10 
52470,1/15/2014,Canada,2178,CAN5,Male,9.5,42-43,9, $139.00 ,10%, $125.10 
52471,1/15/2014,United States,2152,US15,Female,7.5,38,5.5, $149.00 ,30%, $104.30 
52472,1/15/2014,United States,2231,US9,Female,7.5,38,5.5, $169.00 ,10%, $152.10 
52472,1/15/2014,United States,2222,US1,Female,9,39-40,7, $139.00 ,10%, $125.10 
52472,1/15/2014,United States,2202,US14,Female,10,40-41,8, $129.00 ,30%, $90.30 
52473,1/16/2014,Canada,2213,CAN2,Male,8.5,41-42,8, $169.00 ,50%, $84.50 
52474,1/16/2014,United States,2204,US6,Female,7.5,38,5.5, $169.00 ,0%, $169.00 
52474,1/16/2014,United States,2161,US15,Male,10,43,9.5, $139.00 ,0%, $139.00 
52474,1/16/2014,United States,2233,US1,Female,9.5,40,7.5, $149.00 ,30%, $104.30 
52475,1/16/2014,Germany,2242,GER2,Female,7,37-38,5, $189.00 ,10%, $170.10 
52476,1/16/2014,United States,2194,US15,Female,7.5,38,5.5, $129.00 ,0%, $129.00 
52477,1/17/2014,Canada,2177,CAN6,Male,11,44,10.5, $169.00 ,0%, $169.00 
52478,1/17/2014,Canada,2220,CAN6,Male,9.5,42-43,9, $169.00 ,0%, $169.00 
52479,1/17/2014,United States,2177,US5,Female,7.5,38,5.5, $159.00 ,20%, $127.20 
52479,1/17/2014,United States,2163,US9,Female,9.5,40,7.5, $129.00 ,10%, $116.10 
52480,1/17/2014,United States,2232,US4,Female,7.5,38,5.5, $169.00 ,0%, $169.00 
52480,1/17/2014,United States,2163,US14,Female,9.5,40,7.5, $169.00 ,0%, $169.00 
52480,1/17/2014,United States,2150,US8,Male,9.5,42-43,9, $199.00 ,0%, $199.00 
52481,1/17/2014,Canada,2154,CAN3,Male,10.5,43-44,10, $179.00 ,0%, $179.00 
52482,1/17/2014,United States,2177,US15,Male,14,47,13.5, $159.00 ,10%, $143.10 
52483,1/18/2014,Canada,2241,CAN5,Male,9.5,42-43,9, $139.00 ,20%, $111.20 
52484,1/18/2014,United Kingdom,2221,UK2,Female,6.5,37,4.5, $159.00 ,20%, $127.20 
52485,1/18/2014,United States,2204,US6,Female,7.5,38,5.5, $169.00 ,0%, $169.00 
52485,1/18/2014,United States,2233,US1,Female,9.5,40,7.5, $149.00 ,30%, $104.30 
52486,1/18/2014,United States,2210,US2,Female,7.5,38,5.5, $189.00 ,0%, $189.00 
52486,1/18/2014,United States,2191,US9,Male,10.5,43-44,10, $199.00 ,0%, $199.00 
52486,1/18/2014,United States,2161,US15,Male,10,43,9.5, $139.00 ,0%, $139.00 
52487,1/18/2014,United States,2154,US15,Female,8,38-39,6, $139.00 ,30%, $97.30 
52488,1/18/2014,Canada,2211,CAN7,Female,8.5,39,6.5, $149.00 ,0%, $149.00 
52489,1/18/2014,Germany,2151,GER2,Male,6,39,5.5, $199.00 ,0%, $199.00 
52490,1/19/2014,United States,2235,US15,Female,9.5,40,7.5, $139.00 ,0%, $139.00 
52491,1/19/2014,Germany,2214,GER3,Male,10.5,43-44,10, $139.00 ,0%, $139.00 
52492,1/19/2014,Germany,2209,GER3,Female,7.5,38,5.5, $169.00 ,20%, $135.20 
52493,1/19/2014,United States,2232,US4,Female,7.5,38,5.5, $169.00 ,0%, $169.00 
52493,1/19/2014,United States,2150,US8,Male,9.5,42-43,9, $199.00 ,0%, $199.00 
52494,1/19/2014,United Kingdom,2202,UK4,Male,9,42,8.5, $199.00 ,0%, $199.00 
52495,1/19/2014,Germany,2185,GER1,Male,8,41,7.5, $179.00 ,0%, $179.00 
52496,1/19/2014,Canada,2156,CAN6,Male,9,42,8.5, $189.00 ,0%, $189.00 
52496,1/19/2014,Canada,2189,CAN7,Male,11,44,10.5, $129.00 ,30%, $90.30 
52497,1/19/2014,Canada,2236,CAN7,Female,8.5,39,6.5, $129.00 ,0%, $129.00 
52498,1/19/2014,Germany,2189,GER2,Female,7.5,38,5.5, $139.00 ,50%, $69.50 
52499,1/20/2014,United States,2180,US15,Female,8,38-39,6, $149.00 ,0%, $149.00 
52499,1/20/2014,United States,2204,US15,Female,9.5,40,7.5, $169.00 ,10%, $152.10 
52500,1/20/2014,United Kingdom,2154,UK2,Male,9.5,42-43,9, $139.00 ,0%, $139.00 
52501,1/20/2014,Germany,2192,GER1,Male,11,44,10.5, $199.00 ,0%, $199.00 
52502,1/20/2014,United States,2230,US15,Female,8,38-39,6, $129.00 ,0%, $129.00 
52503,1/20/2014,Canada,2185,CAN7,Male,7.5,40-41,7, $169.00 ,0%, $169.00 
52503,1/20/2014,Canada,2156,CAN6,Male,9,42,8.5, $189.00 ,0%, $189.00 
52504,1/20/2014,Germany,2180,GER3,Female,7.5,38,5.5, $139.00 ,0%, $139.00 
52505,1/21/2014,United States,2154,US15,Female,8,38-39,6, $139.00 ,30%, $97.30 
52505,1/21/2014,United States,2214,US15,Female,9.5,40,7.5, $149.00 ,50%, $74.50 
52506,1/21/2014,Germany,2238,GER1,Male,11.5,44-45,11, $129.00 ,10%, $116.10 
52507,1/21/2014,Germany,2151,GER1,Male,9.5,42-43,9, $149.00 ,20%, $119.20 
52508,1/21/2014,United Kingdom,2222,UK4,Female,9,39-40,7, $159.00 ,0%, $159.00 
52509,1/21/2014,United States,2177,US5,Female,7.5,38,5.5, $159.00 ,20%, $127.20 
52510,1/21/2014,Canada,2178,CAN5,Male,9.5,42-43,9, $139.00 ,10%, $125.10 
52510,1/21/2014,Canada,2185,CAN7,Male,7.5,40-41,7, $169.00 ,0%, $169.00 
52511,1/22/2014,Germany,2199,GER2,Male,11.5,44-45,11, $189.00 ,0%, $189.00 
52512,1/22/2014,Germany,2200,GER2,Female,7,37-38,5, $129.00 ,0%, $129.00 
52513,1/22/2014,United States,2183,US4,Female,8,38-39,6, $149.00 ,0%, $149.00 
52514,1/22/2014,United States,2175,US15,Male,9,42,8.5, $179.00 ,50%, $89.50 
52515,1/22/2014,United States,2204,US6,Female,7.5,38,5.5, $169.00 ,0%, $169.00 
52516,1/23/2014,United States,2152,US15,Female,7.5,38,5.5, $149.00 ,30%, $104.30 
52517,1/23/2014,Canada,2189,CAN7,Male,11,44,10.5, $129.00 ,30%, $90.30 
52518,1/23/2014,United States,2163,US12,Female,8,38-39,6, $149.00 ,0%, $149.00 
52519,1/23/2014,United States,2172,US13,Male,10.5,43-44,10, $129.00 ,20%, $103.20 
52520,1/23/2014,Germany,2191,GER2,Male,9.5,42-43,9, $199.00 ,30%, $139.30 
52521,1/23/2014,United States,2213,US6,Male,11.5,44-45,11, $179.00 ,30%, $125.30 
52522,1/23/2014,United States,2173,US7,Female,9.5,40,7.5, $199.00 ,0%, $199.00 
52522,1/23/2014,United States,2190,US13,Female,9.5,40,7.5, $169.00 ,30%, $118.30 
52523,1/24/2014,Germany,2233,GER3,Male,9.5,42-43,9, $179.00 ,0%, $179.00 
52524,1/24/2014,Canada,2156,CAN6,Male,9,42,8.5, $189.00 ,0%, $189.00 
52525,1/24/2014,United States,2158,US13,Male,10.5,43-44,10, $159.00 ,20%, $127.20 
52526,1/24/2014,United States,2219,US13,Male,10.5,43-44,10, $139.00 ,0%, $139.00 
52527,1/24/2014,Canada,2227,CAN1,Female,8,38-39,6, $179.00 ,30%, $125.30 
52528,1/24/2014,United States,2211,US6,Male,9.5,42-43,9, $189.00 ,0%, $189.00 
52529,1/24/2014,United States,2164,US5,Female,8,38-39,6, $149.00 ,0%, $149.00 
52530,1/24/2014,United States,2175,US15,Male,9,42,8.5, $179.00 ,50%, $89.50 
52530,1/24/2014,United States,2173,US7,Female,9.5,40,7.5, $199.00 ,0%, $199.00 
52531,1/25/2014,United Kingdom,2169,UK4,Female,7.5,38,5.5, $189.00 ,20%, $151.20 
52532,1/25/2014,Canada,2217,CAN5,Male,7,40,6.5, $199.00 ,0%, $199.00 
52533,1/25/2014,Canada,2151,CAN5,Female,9,39-40,7, $129.00 ,50%, $64.50 
52534,1/25/2014,United States,2235,US13,Male,8.5,41-42,8, $169.00 ,30%, $118.30 
52535,1/25/2014,Germany,2169,GER1,Male,9.5,42-43,9, $129.00 ,0%, $129.00 
52535,1/25/2014,Germany,2197,GER1,Female,8.5,39,6.5, $179.00 ,20%, $143.20 
52536,1/25/2014,Germany,2151,GER1,Male,9.5,42-43,9, $149.00 ,20%, $119.20 
52537,1/25/2014,United States,2203,US8,Female,8,38-39,6, $179.00 ,50%, $89.50 
52538,1/25/2014,United States,2213,US6,Male,11.5,44-45,11, $179.00 ,30%, $125.30 
52538,1/25/2014,United States,2175,US15,Male,9,42,8.5, $179.00 ,50%, $89.50 
52539,1/26/2014,United Kingdom,2227,UK1,Female,7.5,38,5.5, $129.00 ,50%, $64.50 
52540,1/26/2014,Germany,2200,GER2,Female,7,37-38,5, $129.00 ,0%, $129.00 
52541,1/26/2014,Canada,2154,CAN6,Female,9,39-40,7, $129.00 ,0%, $129.00 
52542,1/26/2014,United States,2147,US15,Female,8.5,39,6.5, $189.00 ,0%, $189.00 
52543,1/26/2014,United States,2183,US4,Female,8,38-39,6, $149.00 ,0%, $149.00 
52544,1/26/2014,United Kingdom,2158,UK4,Female,6,36-37,4, $189.00 ,0%, $189.00 
52545,1/26/2014,United States,2226,US8,Female,8,38-39,6, $199.00 ,30%, $139.30 
52546,1/26/2014,Germany,2227,GER1,Female,9,39-40,7, $149.00 ,10%, $134.10 
52547,1/27/2014,Canada,2189,CAN7,Male,11,44,10.5, $129.00 ,30%, $90.30 
52548,1/27/2014,United Kingdom,2224,UK3,Male,8.5,41-42,8, $129.00 ,50%, $64.50 
52549,1/27/2014,Canada,2198,CAN5,Male,9,42,8.5, $169.00 ,30%, $118.30 
52550,1/27/2014,Germany,2201,GER1,Male,10,43,9.5, $149.00 ,0%, $149.00 
52551,1/27/2014,United States,2164,US5,Female,8,38-39,6, $149.00 ,0%, $149.00 
52552,1/27/2014,Germany,2189,GER3,Female,9,39-40,7, $149.00 ,30%, $104.30 
52553,1/28/2014,Germany,2219,GER3,Male,10.5,43-44,10, $179.00 ,30%, $125.30 
52554,1/28/2014,United Kingdom,2224,UK3,Female,6,36-37,4, $129.00 ,0%, $129.00 
52555,1/28/2014,Germany,2233,GER3,Male,9.5,42-43,9, $179.00 ,0%, $179.00 
52556,1/28/2014,Germany,2210,GER3,Female,9,39-40,7, $169.00 ,50%, $84.50 
52557,1/29/2014,United States,2231,US5,Male,10,43,9.5, $159.00 ,10%, $143.10 
52558,1/29/2014,Canada,2220,CAN5,Female,8,38-39,6, $169.00 ,0%, $169.00 
52559,1/29/2014,United Kingdom,2169,UK4,Female,7.5,38,5.5, $189.00 ,20%, $151.20 
52560,1/30/2014,United States,2228,US15,Male,9.5,42-43,9, $169.00 ,0%, $169.00 
52560,1/30/2014,United States,2165,US3,Female,8,38-39,6, $189.00 ,0%, $189.00 
52561,1/30/2014,United States,2234,US12,Female,9.5,40,7.5, $159.00 ,0%, $159.00 
52562,1/30/2014,Germany,2191,GER2,Male,9.5,42-43,9, $199.00 ,30%, $139.30 
52563,1/30/2014,United States,2190,US15,Male,8.5,41-42,8, $189.00 ,50%, $94.50 
52564,1/31/2014,United States,2195,US15,Male,11.5,44-45,11, $199.00 ,20%, $159.20 
52564,1/31/2014,United States,2228,US15,Male,9.5,42-43,9, $169.00 ,0%, $169.00 
52565,1/31/2014,United States,2166,US12,Male,9,42,8.5, $139.00 ,0%, $139.00 
52566,1/31/2014,Germany,2165,GER1,Female,10.5,41,8.5, $179.00 ,20%, $143.20 
52567,1/31/2014,United States,2180,US15,Female,8,38-39,6, $149.00 ,0%, $149.00 
52567,1/31/2014,United States,2208,US15,Female,8,38-39,6, $159.00 ,0%, $159.00 
52567,1/31/2014,United States,2237,US10,Female,8,38-39,6, $129.00 ,10%, $116.10 
52568,1/31/2014,United States,2177,US15,Male,14,47,13.5, $159.00 ,10%, $143.10 
52569,1/31/2014,Canada,2147,CAN3,Female,8,38-39,6, $169.00 ,10%, $152.10 
52570,2/1/2014,United States,2193,US15,Male,10.5,43-44,10, $199.00 ,0%, $199.00 
52570,2/1/2014,United States,2195,US15,Male,11.5,44-45,11, $199.00 ,20%, $159.20 
52571,2/1/2014,Germany,2212,GER2,Female,10.5,41,8.5, $199.00 ,0%, $199.00 
52572,2/1/2014,United States,2211,US15,Female,8,38-39,6, $169.00 ,0%, $169.00 
52572,2/1/2014,United States,2165,US3,Female,8,38-39,6, $189.00 ,0%, $189.00 
52573,2/1/2014,Germany,2214,GER3,Male,10.5,43-44,10, $139.00 ,0%, $139.00 
52574,2/1/2014,Canada,2211,CAN7,Female,8.5,39,6.5, $149.00 ,0%, $149.00 
52575,2/1/2014,Canada,2182,CAN2,Female,9,39-40,7, $179.00 ,0%, $179.00 
52576,2/1/2014,Canada,2214,CAN6,Female,8,38-39,6, $189.00 ,10%, $170.10 
52577,2/2/2014,United Kingdom,2222,UK4,Male,10.5,43-44,10, $199.00 ,10%, $179.10 
52578,2/2/2014,United States,2201,US15,Female,7.5,38,5.5, $189.00 ,0%, $189.00 
52579,2/2/2014,Germany,2181,GER2,Female,10.5,41,8.5, $159.00 ,0%, $159.00 
52580,2/2/2014,United States,2180,US15,Female,8,38-39,6, $149.00 ,0%, $149.00 
52580,2/2/2014,United States,2180,US15,Female,8,38-39,6, $149.00 ,0%, $149.00 
52580,2/2/2014,United States,2228,US15,Male,9.5,42-43,9, $169.00 ,0%, $169.00 
52581,2/2/2014,Germany,2147,GER1,Female,9,39-40,7, $129.00 ,0%, $129.00 
52582,2/2/2014,United Kingdom,2219,UK3,Male,9.5,42-43,9, $189.00 ,10%, $170.10 
52583,2/2/2014,Germany,2219,GER3,Male,10.5,43-44,10, $179.00 ,30%, $125.30 
52584,2/3/2014,United Kingdom,2211,UK5,Male,11.5,44-45,11, $129.00 ,0%, $129.00 
52585,2/3/2014,Germany,2212,GER3,Male,10,43,9.5, $159.00 ,0%, $159.00 
52586,2/3/2014,United States,2186,US12,Male,9.5,42-43,9, $169.00 ,0%, $169.00 
52587,2/3/2014,United Kingdom,2225,UK3,Male,8.5,41-42,8, $149.00 ,50%, $74.50 
52588,2/3/2014,Canada,2182,CAN2,Female,9,39-40,7, $179.00 ,0%, $179.00 
52589,2/3/2014,Canada,2195,CAN5,Male,10.5,43-44,10, $179.00 ,0%, $179.00 
52589,2/3/2014,Canada,2192,CAN3,Male,9,42,8.5, $159.00 ,0%, $159.00 
52590,2/3/2014,United Kingdom,2208,UK2,Male,10,43,9.5, $179.00 ,0%, $179.00 
52591,2/4/2014,United States,2186,US15,Female,7.5,38,5.5, $179.00 ,0%, $179.00 
52591,2/4/2014,United States,2237,US15,Female,9,39-40,7, $139.00 ,30%, $97.30 
52592,2/4/2014,United States,2217,US12,Female,8.5,39,6.5, $189.00 ,30%, $132.30 
52593,2/4/2014,United States,2196,US15,Female,9,39-40,7, $169.00 ,0%, $169.00 
52594,2/4/2014,United States,2222,US12,Male,10,43,9.5, $139.00 ,10%, $125.10 
52595,2/4/2014,Germany,2198,GER1,Male,10.5,43-44,10, $189.00 ,0%, $189.00 
52596,2/4/2014,United Kingdom,2219,UK3,Male,9.5,42-43,9, $189.00 ,10%, $170.10 
52597,2/4/2014,Canada,2151,CAN6,Male,10,43,9.5, $159.00 ,0%, $159.00 
52597,2/4/2014,Canada,2195,CAN5,Male,10.5,43-44,10, $179.00 ,0%, $179.00 
52598,2/5/2014,United States,2158,US14,Male,9.5,42-43,9, $179.00 ,20%, $143.20 
52599,2/5/2014,United States,2155,US2,Female,8.5,39,6.5, $189.00 ,0%, $189.00 
52600,2/5/2014,United States,2183,US15,Female,9,39-40,7, $139.00 ,50%, $69.50 
52601,2/5/2014,United States,2174,US12,Male,6,39,5.5, $139.00 ,10%, $125.10 
52602,2/5/2014,United Kingdom,2184,UK2,Female,8,38-39,6, $179.00 ,0%, $179.00 
52603,2/5/2014,Canada,2217,CAN5,Male,7,40,6.5, $199.00 ,0%, $199.00 
52603,2/5/2014,Canada,2151,CAN6,Male,10,43,9.5, $159.00 ,0%, $159.00 
52604,2/6/2014,United States,2152,US15,Female,8,38-39,6, $139.00 ,0%, $139.00 
52605,2/6/2014,United States,2150,US9,Male,9.5,42-43,9, $189.00 ,0%, $189.00 
52606,2/6/2014,United Kingdom,2156,UK5,Female,8,38-39,6, $169.00 ,10%, $152.10 
52606,2/6/2014,United Kingdom,2167,UK2,Female,8.5,39,6.5, $149.00 ,0%, $149.00 
52607,2/6/2014,Germany,2150,GER3,Female,7,37-38,5, $179.00 ,30%, $125.30 
52608,2/7/2014,United States,2199,US3,Female,8,38-39,6, $169.00 ,10%, $152.10 
52609,2/7/2014,United States,2231,US5,Male,10,43,9.5, $159.00 ,10%, $143.10 
52610,2/7/2014,United States,2217,US3,Female,9.5,40,7.5, $139.00 ,0%, $139.00 
52611,2/7/2014,Canada,2192,CAN3,Male,9,42,8.5, $159.00 ,0%, $159.00 
52612,2/8/2014,United States,2231,US15,Male,11,44,10.5, $189.00 ,0%, $189.00 
52613,2/8/2014,United Kingdom,2201,UK5,Male,9,42,8.5, $199.00 ,0%, $199.00 
52614,2/8/2014,United States,2158,US14,Male,9.5,42-43,9, $179.00 ,20%, $143.20 
52615,2/8/2014,Canada,2195,CAN5,Male,10.5,43-44,10, $179.00 ,0%, $179.00 
52616,2/9/2014,United States,2224,US3,Female,9.5,40,7.5, $169.00 ,0%, $169.00 
52617,2/9/2014,Canada,2207,CAN2,Male,10.5,43-44,10, $159.00 ,0%, $159.00 
52618,2/9/2014,United Kingdom,2221,UK5,Male,10.5,43-44,10, $139.00 ,0%, $139.00 
52619,2/9/2014,United States,2150,US9,Male,9.5,42-43,9, $189.00 ,0%, $189.00 
52620,2/9/2014,Germany,2152,GER2,Male,9,42,8.5, $149.00 ,0%, $149.00 
52621,2/9/2014,United States,2229,US14,Male,9,42,8.5, $129.00 ,0%, $129.00 
52622,2/9/2014,Germany,2210,GER1,Female,9.5,40,7.5, $129.00 ,0%, $129.00 
52623,2/10/2014,United States,2217,US3,Female,9.5,40,7.5, $139.00 ,0%, $139.00 
52624,2/10/2014,Germany,2150,GER3,Female,7,37-38,5, $179.00 ,30%, $125.30 
52625,2/10/2014,United Kingdom,2172,UK3,Male,8.5,41-42,8, $179.00 ,0%, $179.00 
